作业点编号,终端名称,会议号,终端号
110117091,平谷北寨作业点,9080982055,922642
110117094,平谷区玻璃台作业点,9080318922,290243
110117001,平谷区黑豆峪作业点,9080680490,218974
110117092,平谷区西凡各庄作业点,9080805128,457512
110117093,平谷区五里庙作业点,9080614744,731423
110117002,平谷区峪口作业点,9080125448,265381
110119092,延庆区张山营作业点,9080552057,889934
110119093,延庆区白草洼作业点,9080598297,323116
110111093,房山区长阳作业点,9080143791,731342
110119094,延庆区黄峪口作业点,9080911416,806780
110119095,延庆区香营作业点,9080832866,155051
110119097,延庆区刘斌堡作业点,9080662028,238549
110119096,延庆区新庄堡作业点,9080282886,452626
110119041,延庆区白河堡作业点,9080364024,982118
110118092,密云区张家坟作业点,9080563866,222891
110118091,密云区黑龙潭作业点,9080337441,656697
110118093,密云区四合堂作业点,9080125689,280521
110119042,延庆区千家店作业点,9080218995,910656
110119043,延庆区红旗甸作业点,9080599385,146588
110119091,延庆区东门营作业点,9080386057,830077
110109093,门头沟区房良作业点,9080555325,154519
110109091,门头沟区斋堂作业点,9080129928,855399
110109092,门头沟区东山作业点,9080527099,836051
110114093,昌平辛庄作业点,9080954022,313427
110114091,昌平区真顺作业点,9080550792,844373
110111092,房山区孤山口作业点,9080486468,946034
110114094,昌平区太平庄作业点,9080470310,480317
110111091,房山区张坊作业点,9080401899,184297
110114092,昌平古将作业点,9080391405,369476
110108093,海淀区凤凰岭作业点,9080555447,813746
110108091,海淀区香山作业点,9080867290,608939
110109094,门头沟区灵山作业点,9080194223,397927
,多个作业点组会,9080506711,再通过小鱼API邀请需要呼叫的作业点终端号
